import time: self [us] | cumulative | imported package
import time:        95 |         95 |   _io
import time:        23 |         23 |   marshal
import time:       228 |        228 |   posix
import time:       349 |        694 | _frozen_importlib_external
import time:        82 |         82 |   time
import time:       147 |        229 | zipimport
import time:        70 |         70 |     _codecs
import time:       269 |        338 |   codecs
import time:       262 |        262 |   encodings.aliases
import time:       386 |        985 | encodings
import time:       120 |        120 | encodings.utf_8
import time:        57 |         57 | _signal
import time:        25 |         25 |     _abc
import time:       151 |        176 |   abc
import time:       177 |        352 | io
import time:        33 |         33 |       _stat
import time:       110 |        143 |     stat
import time:       556 |        556 |     _collections_abc
import time:        88 |         88 |       genericpath
import time:       146 |        233 |     posixpath
import time:       455 |       1384 |   os
import time:       114 |        114 |   _sitebuiltins
import time:       198 |        198 |   types
import time:       146 |        146 |       warnings
import time:       116 |        262 |     importlib
import time:        88 |         88 |     importlib._abc
import time:        68 |         68 |         itertools
import time:        95 |         95 |         keyword
import time:        36 |         36 |           _operator
import time:       188 |        224 |         operator
import time:       108 |        108 |         reprlib
import time:       316 |        316 |         _collections
import time:       528 |       1337 |       collections
import time:        34 |         34 |         _functools
import time:       324 |        358 |       functools
import time:       374 |       2067 |     contextlib
import time:       223 |       2638 |   importlib.util
import time:        99 |         99 |   importlib.machinery
import time:        84 |         84 |     apport_python_hook
import time:        81 |        164 |   sitecustomize
import time:      1925 |       6519 | site
import time:       307 |        307 |   _ctypes
import time:        40 |         40 |     _struct
import time:       114 |        154 |   struct
import time:       141 |        141 |   ctypes._endian
import time:       507 |       1107 | ctypes
import time:       389 |        389 |       enum
import time:        39 |         39 |         _sre
import time:       197 |        197 |           sre_constants
import time:       214 |        411 |         sre_parse
import time:       187 |        635 |       sre_compile
import time:        42 |         42 |       _locale
import time:       100 |        100 |       copyreg
import time:       378 |       1542 |     re
import time:       123 |        123 |       _json
import time:       275 |        398 |     json.scanner
import time:       280 |       2219 |   json.decoder
import time:       268 |        268 |   json.encoder
import time:       139 |       2624 | json
